"","id","text","retweetCount","CreatedAt","author.id","author.userName","author.followers","author.following","author.createdAt","isRetweet","date"
"1502928","1656416373898133509","The Biden administration is implementing a new asylum restriction it plans to use to ramp up deportations of migrants after Title 42 ends—a ""seismic shift"" in U.S. asylum policy, and even ""tougher"" measure than the pandemic-era policy it's replacing, according to @camiloreports. https://t.co/NYvhq8vzxv",13,"Wed May 10 21:50:12 +0000 2023","15012486","CBSNews",8961767,614,"Thu Jun 05 00:54:31 +0000 2008",FALSE,"2023-05-10 14:50:12"
"1502932","1656416302859157504","@AlasdairMack66 @krishgm It was actually written with the understanding that getting to safety would be an individual's priority. It does contain a caveat that migrants unlawfully entering a territory that isn't the 1st safe country can be treated differently than those who are.",0,"Wed May 10 21:49:55 +0000 2023","2447447610","AndrewR90805764",2443,4962,"Wed Apr 16 15:30:30 +0000 2014",FALSE,"2023-05-10 14:49:55"
"1502960","1652371358653861892","@RobertN51219021 The 1.1m UK immigration figure for 2022 is from @ONS : that’s a screen shot of the page; check it out if you don’t believe it!

You yourself said 500,000 net migration: if you don’t accept the way ONS calculate it, what do you think immigration was before emigration’s subtracted?",0,"Sat Apr 29 17:56:46 +0000 2023","1374292764117045248","Rod__Mason",10843,8820,"Tue Mar 23 09:31:51 +0000 2021",FALSE,"2023-04-29 10:56:46"
"1503027","1656034931103891456","@ross_baglin @FriendsofZeno @jfwduffield Oh there is. You can’t jump over the process when it suits your view. I have no issue with deportations for economic migrants who shouldn’t be here. But I simply do not accept everyone is the same. Resource it and sort it out.",0,"Tue May 09 20:34:29 +0000 2023","1243209511718002689","OscarJ43943261",1817,2569,"Thu Mar 26 16:13:52 +0000 2020",FALSE,"2023-05-09 13:34:29"
"1503087","1656415869205983232","Judge pauses Rockland County hotels from becoming migrant shelters https://t.co/G4wCfv0x1J via @americanwire_",15,"Wed May 10 21:48:12 +0000 2023","466864852","BoSnerdley",580855,3273,"Tue Jan 17 21:41:15 +0000 2012",FALSE,"2023-05-10 14:48:12"
"1503093","1656415627156893696","As the Biden administration prepares for the end of Title 42 tomorrow, CBS News' @NicoleSganga reports from Brownsville, Texas where border officials work to keep up with the sudden increase of migrants amid concerns about capacity at processing centers. https://t.co/QVhfmSnKd4",13,"Wed May 10 21:47:14 +0000 2023","15012486","CBSNews",8961767,614,"Thu Jun 05 00:54:31 +0000 2008",FALSE,"2023-05-10 14:47:14"
"1503095","1656415570781192194","As migrant wave hits the border, Mayorkas says it will ‘take time’ for results of Title 42 plan to be realized https://t.co/Pe9XRq6kjN #FoxNews",21,"Wed May 10 21:47:01 +0000 2023","466864852","BoSnerdley",580855,3273,"Tue Jan 17 21:41:15 +0000 2012",FALSE,"2023-05-10 14:47:01"
"1503145","1655762229973643266","@naomi2009 @becsantanu @timesofindia 2 main reasons Indian students MUST look elsewhere 1: Mass shootings, 2: Green card backlog due to racist discriminatory country caps that keeps Indians living in US for decades on temporary visa subjecting them to cruelty of segregation era laws.",3,"Tue May 09 02:30:52 +0000 2023","1189382010046963718","DurbinHypocrite",931,306,"Wed Oct 30 03:22:34 +0000 2019",FALSE,"2023-05-08 19:30:52"
"1503152","1655758586679640064","@elonmusk @stillgray Hard working, law abiding high skilled immigrants are the exactly the kind of immigrants not welcomed in America. All immigration talk in about undocumented. High skilled immigrants are tortured in immigration deadlock aka green card backlog.",8,"Tue May 09 02:16:24 +0000 2023","1365172991399706631","frontline_in",836,764,"Fri Feb 26 05:33:10 +0000 2021",FALSE,"2023-05-08 19:16:24"
"1503170","1652325221381074947","@RobertN51219021 @YorkieAlf @ZoeJardiniere No: immigration last year was 1.1 million; you’re referring to net migration figures that include emigration.

Of course we *could* just allow anyone from any country to come and live in the UK whenever they wanted, but most people want the government to draw the line somewhere.",0,"Sat Apr 29 14:53:26 +0000 2023","1374292764117045248","Rod__Mason",10843,8820,"Tue Mar 23 09:31:51 +0000 2021",FALSE,"2023-04-29 07:53:26"
"1503194","1656031144243019780","Everyone at risk of deportation deserves a lawyer even if they can’t afford one.

The #FairnessToFreedomAct would advance access to legal representation for all. 

Learn more about the movement for #UniversalRepresentation: https://t.co/AX6QCYKq9P https://t.co/pot4A2TdQW",6,"Tue May 09 20:19:27 +0000 2023","115172311","verainstitute",72235,2881,"Wed Feb 17 21:07:03 +0000 2010",FALSE,"2023-05-09 13:19:27"
"1503266","1656415150432190467","@patsypixie2 We need to weed out folk who are against the UK. Maybe sack the person who gave them the title. Any Lords who wants illegal migrants here judge by what the seem to do to women. Isn't fit for the job. Also odd; gay folk aren't liked by folk we are importing; so why.",1,"Wed May 10 21:45:21 +0000 2023","1124272416757309441","LesTodd10",343,70,"Fri May 03 11:20:06 +0000 2019",FALSE,"2023-05-10 14:45:21"
"1503267","1656415097617539072","ICE frees hundreds of criminals to make room for migrants; Biden goes easy on quick removals

https://t.co/sMIMVm6wyn https://t.co/46Ymv6xk2N",2,"Wed May 10 21:45:08 +0000 2023","14662354","WashTimes",456591,1886,"Mon May 05 17:43:25 +0000 2008",FALSE,"2023-05-10 14:45:08"
